Object Template ID	Object Template	New Object Template	New Template ID	Script Remove	Script Add	Objvar Remove	General Protection	Condition	"Layer, Value"	Attribute Bonus	Crate Script	Create Schematic
1875688539	object/tangible/component/armor/armor_layer_acid.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[6,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
192857538	object/tangible/component/armor/armor_layer_blast.iff	object/tangible/component/armor/armor_layer_kinetic.iff	-983864428	systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[0,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	-190320536
-442303678	object/tangible/component/armor/armor_layer_cold.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[5,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
-2072795932	object/tangible/component/armor/armor_layer_electrical.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[2,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
983989372	object/tangible/component/armor/armor_layer_energy.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[1,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
490845618	object/tangible/component/armor/armor_layer_heat.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[4,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
-983864428	object/tangible/component/armor/armor_layer_kinetic.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[0,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	
2086609620	object/tangible/component/armor/armor_layer_nightsister.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.component.component_attrib_mod	armor*				[0:20.000000]		
110363758	object/tangible/component/armor/armor_layer_ris.iff			systems.crafting.armor.component.crafting_armor_component_attribute	item.component.component_attrib_mod	armor*				[0:25.000000]		
-1424880637	object/tangible/component/armor/armor_layer_stun.iff	object/tangible/component/armor/armor_layer_kinetic.iff	-983864428	systems.crafting.armor.component.crafting_armor_component_attribute	item.armor.new_armor	armor*			"[0,0.700000]"		systems.crafting.armor.component.crafting_new_armor_advanced_layer_1	-190320536
