Template ID	Template	Conversion
-1752781786	object/tangible/powerup/weapon/fs_quest_sad/melee_speed_quest.iff	
-783172251	object/tangible/powerup/weapon/fs_quest_sad/shared_melee_speed_quest.iff	
816906965	object/tangible/powerup/weapon/heavy.iff	
2079645376	object/tangible/powerup/weapon/melee.iff	
548609244	object/tangible/powerup/weapon/melee_balancing_weights.iff	
1337076820	object/tangible/powerup/weapon/melee_element_dispursal_tuner.iff	
1327818409	object/tangible/powerup/weapon/melee_generic.iff	ConvertMeleePowerup
1393952939	object/tangible/powerup/weapon/melee_hilt_reinforcement_kit.iff	
-1004627683	object/tangible/powerup/weapon/melee_inertial_fluctuator.iff	
-1962956247	object/tangible/powerup/weapon/melee_lightsaber.iff	
-551790316	object/tangible/powerup/weapon/melee_surface_serration_kit.iff	
-1042074732	object/tangible/powerup/weapon/melee_tactical_grip_modifier.iff	
-1181099798	object/tangible/powerup/weapon/mine.iff	
-2117547605	object/tangible/powerup/weapon/mine_explosive.iff	ConvertMinePowerup
1896637454	object/tangible/powerup/weapon/ranged.iff	
352903310	object/tangible/powerup/weapon/ranged_barrel.iff	ConvertRangedPowerup
130303407	object/tangible/powerup/weapon/ranged_grip.iff	ConvertRangedPowerup
1006954225	object/tangible/powerup/weapon/ranged_muzzle.iff	ConvertRangedPowerup
-1957995430	object/tangible/powerup/weapon/ranged_power.iff	ConvertRangedPowerup
200431483	object/tangible/powerup/weapon/ranged_scope.iff	ConvertRangedPowerup
1219521873	object/tangible/powerup/weapon/ranged_stock.iff	ConvertRangedPowerup
816274817	object/tangible/powerup/weapon/thrown.iff	
1602787778	object/tangible/powerup/weapon/thrown_explosive.iff	
1021288392	object/tangible/powerup/weapon/thrown_wiring.iff	
