Template ID	Template	Buff Name	Effectiveness Objvar	Effectiveness	Duration Objvar	Duration	RemoveObjVar	RemoveScript	AddScript
-980521968	object/tangible/food/crafted/dessert_air_cake.iff	dessert_air_cake	duration.eff	20	duration.dur	1200	"duration.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-306844601	object/tangible/food/crafted/dessert_almond_kwevvu_crisp_munchies.iff	dessert_almond_kwevvu_crisp_munchies	skill_mod.amount	10	skill_mod.dur	1200	"skill_mod.name,consumable.mods,food_type"	item.comestible.crafted	item.food
-2039935369	object/tangible/food/crafted/dessert_blob_candy.iff	dessert_blob_candy		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
-23647699	object/tangible/food/crafted/dessert_bofa_treat.iff	dessert_bofa_treat		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
-1933405050	object/tangible/food/crafted/dessert_cavaellin_creams.iff	dessert_cavaellin_creams	delayed.eff	60		0.9	"delayed.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-1329737896	object/tangible/food/crafted/dessert_chandad.iff	dessert_chandad	skill_mod.amount	10	skill_mod.dur	1200	"skill_mod.name,consumable.mods,food_type"	item.comestible.crafted	item.food
144581616	object/tangible/food/crafted/dessert_citros_snow_cake.iff	dessert_citros_snow_cake	duration.eff	20	duration.dur	1600	"duration.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-1122191702	object/tangible/food/crafted/dessert_deneelian_fizz_pudding.iff	dessert_deneelian_fizz_pudding	duration.eff	40	duration.dur	120	"duration.type,consumable.mods,food_type"	item.comestible.crafted	item.food
22306368	object/tangible/food/crafted/dessert_dweezel.iff	dessert_dweezel	skill_mod.amount	10	skill_mod.dur	1200	"skill_mod.name,consumable.mods,food_type"	item.comestible.crafted	item.food
281064494	object/tangible/food/crafted/dessert_gorrnar.iff	dessert_gorrnar	delayed.eff	15		0.9	"delayed.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-1320167407	object/tangible/food/crafted/dessert_kiwik_clusjo_swirl.iff	dessert_kiwik_clusjo_swirl		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
1061303036	object/tangible/food/crafted/dessert_parwan_nutricake.iff	dessert_parwan_nutricake	instant.v1	65	instant.v2	65	"instant.type,consumable.mods,food_type"	item.comestible.crafted	item.food
507210122	object/tangible/food/crafted/dessert_pikatta_pie.iff	dessert_pikatta_pie	duration.eff	25	duration.dur	1600	"duration.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-88500234	object/tangible/food/crafted/dessert_pkneb.iff	dessert_pkneb	skill_mod.amount	10	skill_mod.dur	1200	"skill_mod.name,consumable.mods,food_type"	item.comestible.crafted	item.food
1472463975	object/tangible/food/crafted/dessert_pyollian_cake.iff	dessert_pyollian_cake	delayed.eff	7		0.9	"delayed.type,consumable.mods,food_type"	item.comestible.crafted	item.food
2080884324	object/tangible/food/crafted/dessert_smugglers_delight.iff	dessert_smugglers_delight	delayed.eff	40		0.9	"delayed.type,consumable.mods,food_type"	item.comestible.crafted	item.food
-2052487231	object/tangible/food/crafted/dessert_vagnerian_canape.iff	dessert_vagnerian_canape		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
-528877582	object/tangible/food/crafted/dessert_won_won.iff	dessert_won_won		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
-135648971	object/tangible/food/crafted/dish_ahrisa.iff	dish_ahrisa		0.98		0.9	"consumable.mods,food_type"	item.comestible.crafted	item.food
230572551	object/tangible/food/crafted/dish_bivoli_tempari.iff	dish_bivoli_tempari	skill_mod.amount	10	skill_mod.dur	1200	"skill_mod.name,consumable.mods,food_type"	item.comestible.crafted	item.food
