template_id	crafted_object_template	min_damage_from	min_damage_to	max_damage_from	max_damage_to	attack_speed_from	attack_speed_to	wound_chance_from	wound_chance_to	special_attack_cost_to	accuracy_to	min_range_to	max_range_to	damage_type	elemental_type	elemental_value	force_cost
1567297626	object/tangible/component/weapon/lightsaber/lightsaber_lance_module_force_crystal.iff	[-5:50]	[15:110]	[-5:50]	[15:110]	[-0.6:0]	[-0.3:0]										
1062687370	object/tangible/component/weapon/lightsaber/lightsaber_module_force_crystal.iff	[-5:50]	[15:110]	[-5:50]	[15:110]	[-0.6:0]	[-0.3:0]										
-1774596602	object/tangible/component/weapon/lightsaber/lightsaber_module_krayt_dragon_pearl.iff	[10:50]	[25:120]	[10:50]	[25:120]	[-0.6:-0.2]	[-0.3:-0.1]										
1530854406	object/weapon/melee/sword/crafted_saber/sword_lightsaber_training.iff	[50:70]	[50:80]	[130:170]	[110:185]	[4.5:4.8]	[3.7:4.0]			100		0	5	2			
-255701924	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen1.iff	[70:90]	[70:90]	[160:200]	[170:210]	[4.2:4.5]	[3.0:3.3]			100		0	5	2			
735438027	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen2.iff	[80:100]	[90:110]	[170:210]	[180:220]	[4.2:4.5]	[3.0:3.3]			100		0	5	2			
1658356550	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen3.iff	[130:150]	[140:160]	[220:260]	[230:270]	[4.2:4.5]	[3.0:3.3]			100		0	5	2			
-1724143534	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen4.iff	[140:160]	[150:170]	[230:270]	[240:280]	[4.2:4.5]	[3.0:3.3]			100		0	5	2			
-801714209	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen5.iff	[140:160]	[150:170]	[230:270]	[240:280]	[4.2:4.5]	[3.0:3.3]			100		0	5	2			
-181151130	object/weapon/melee/polearm/crafted_saber/sword_lightsaber_polearm_gen1.iff	[105:125]	[80:100]	[195:235]	[170:210]	[4.8:5.1]	[3.0:3.3]			100		0	5	2			
774140657	object/weapon/melee/polearm/crafted_saber/sword_lightsaber_polearm_gen2.iff	[125:145]	[90:110]	[215:255]	[180:220]	[4.8:5.1]	[3.0:3.3]			100		0	5	2			
1730745724	object/weapon/melee/polearm/crafted_saber/sword_lightsaber_polearm_gen3.iff	[195:215]	[140:160]	[285:305]	[230:270]	[4.8:5.1]	[3.0:3.3]			100		0	5	2			
-1664467352	object/weapon/melee/polearm/crafted_saber/sword_lightsaber_polearm_gen4.iff	[225:235]	[150:170]	[305:325]	[240:280]	[4.8:5.1]	[3.0:3.3]			100		0	5	2			
431995434	object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen1.iff	[90:110]	[70:90]	[180:220]	[170:210]	[4.5:4.8]	[3.0:3.3]			100		0	5	2			
-1029172547	object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen2.iff	[100:120]	[80:100]	[190:230]	[180:220]	[4.5:4.8]	[3.0:3.3]			100		0	5	2			
-1952090832	object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen3.iff	[175:185]	[130:150]	[255:295]	[230:270]	[4.5:4.8]	[3.0:3.3]			100		0	5	2
1883659812	object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen4.iff	[185:195]	[140:160]	[265:305]	[240:280]	[4.5:4.8]	[3.0:3.3]			100		0	5	2
